"index","relation-type","term1","b1","e1","term2","b2","e2","sentence"
"767","TWrex-diagnose","tuberculosis","0","12","tb","14","16","Tuberculosis (tb) results from infection with Mycobacterium tuberculosis and remains endemic throughout the world with one-third of the world's population infected."
"768","TWrex-diagnose","tuberculosis","60","72","tb","14","16","Tuberculosis (tb) results from infection with Mycobacterium tuberculosis and remains endemic throughout the world with one-third of the world's population infected."
"769","TWrex-diagnose","hyperresponsiveness","55","74","methacholine","142","154","We report two asthmatic patients with normal bronchial hyperresponsiveness and one asthmatic patient with mild bronchial hyperresponsiveness (methacholine PC20; 24 mg/ml) which was presumed to be caused by sensitization and exposure to Black GR, the most frequent sensitizer among reactive dyes."
"770","TWrex-diagnose","hyperresponsiveness","121","140","methacholine","142","154","We report two asthmatic patients with normal bronchial hyperresponsiveness and one asthmatic patient with mild bronchial hyperresponsiveness (methacholine PC20; 24 mg/ml) which was presumed to be caused by sensitization and exposure to Black GR, the most frequent sensitizer among reactive dyes."
"771","TWrex-diagnose","tuberculosis","103","115","ppd","125","128","This article will help advanced practice nurses understand the relationship between the immune system, tuberculosis, and the ppd skin test; the problem of anergy with immunocompromised patients, particularly those who are HIV-infected; issues involved in placement and interpretation of the results of the ppd test; new Agency for Health Care Policy and Research (AHCPR) standards for ppd interpretation with HIV-infected persons; the &quot;booster&quot; effect and two-step ppd testing; concerns regarding bacille Calmette-Guérin vaccine; and the use of a critical pathway to aid in."
"772","TWrex-diagnose","tuberculosis","103","115","ppd","306","309","This article will help advanced practice nurses understand the relationship between the immune system, tuberculosis, and the ppd skin test; the problem of anergy with immunocompromised patients, particularly those who are HIV-infected; issues involved in placement and interpretation of the results of the ppd test; new Agency for Health Care Policy and Research (AHCPR) standards for ppd interpretation with HIV-infected persons; the &quot;booster&quot; effect and two-step ppd testing; concerns regarding bacille Calmette-Guérin vaccine; and the use of a critical pathway to aid in."
"773","TWrex-diagnose","tuberculosis","103","115","ppd","385","388","This article will help advanced practice nurses understand the relationship between the immune system, tuberculosis, and the ppd skin test; the problem of anergy with immunocompromised patients, particularly those who are HIV-infected; issues involved in placement and interpretation of the results of the ppd test; new Agency for Health Care Policy and Research (AHCPR) standards for ppd interpretation with HIV-infected persons; the &quot;booster&quot; effect and two-step ppd testing; concerns regarding bacille Calmette-Guérin vaccine; and the use of a critical pathway to aid in."
"774","TWrex-diagnose","tuberculosis","103","115","ppd","475","478","This article will help advanced practice nurses understand the relationship between the immune system, tuberculosis, and the ppd skin test; the problem of anergy with immunocompromised patients, particularly those who are HIV-infected; issues involved in placement and interpretation of the results of the ppd test; new Agency for Health Care Policy and Research (AHCPR) standards for ppd interpretation with HIV-infected persons; the &quot;booster&quot; effect and two-step ppd testing; concerns regarding bacille Calmette-Guérin vaccine; and the use of a critical pathway to aid in."
"775","TWrex-diagnose","tuberculosis","69","81","tb","180","182","Other procedures addressed reduction of transmission of Mycobacteria tuberculosis to HIV positive persons and to the general population, of the incidence of reactivation of latent tb in HIV-positive persons, and of primary active tb in HIV-positive persons exposed to M. tuberculosis."
"776","TWrex-diagnose","tuberculosis","69","81","tb","230","232","Other procedures addressed reduction of transmission of Mycobacteria tuberculosis to HIV positive persons and to the general population, of the incidence of reactivation of latent tb in HIV-positive persons, and of primary active tb in HIV-positive persons exposed to M. tuberculosis."
"777","TWrex-diagnose","tuberculosis","271","283","tb","180","182","Other procedures addressed reduction of transmission of Mycobacteria tuberculosis to HIV positive persons and to the general population, of the incidence of reactivation of latent tb in HIV-positive persons, and of primary active tb in HIV-positive persons exposed to M. tuberculosis."
"778","TWrex-diagnose","tuberculosis","271","283","tb","230","232","Other procedures addressed reduction of transmission of Mycobacteria tuberculosis to HIV positive persons and to the general population, of the incidence of reactivation of latent tb in HIV-positive persons, and of primary active tb in HIV-positive persons exposed to M. tuberculosis."
"779","TWrex-diagnose","syndrome","58","66","halothane","199","208","These results suggest that (i) the malignant hyperthermia syndrome is not directly related to the polar heads of phospholipids and (ii) dantrolene counteracts unspecifically the disturbing effect of halothane at the lipid level."
"780","TWrex-diagnose","tuberculosis","0","12","ppd","78","81","Tuberculosis, our preoperative diagnosis, evidenced by her sterile pyuria and ppd conversion was confirmed by the surgical specimen and treatment was begun."
"781","TWrex-diagnose","tuberculosis","91","103","tuberculin","18","28","A higher ratio of tuberculin test positivity among the students of the teacher with active tuberculosis versus students vaccinated with BCG one year previously according to the routine vaccination program was determined."
"782","TWrex-diagnose","diabetes","48","56","glucose","186","193","Cases with obesity, polycystic ovarian disease, diabetes mellitus, infertility and hypoglycemia showed higher (p = 0.01-0.05) IRI changes, inversely correlated with a decreasing fasting glucose observed in diabetics under treatment with various degrees of control."
"783","TWrex-diagnose","depression","141","151","dexamethasone","31","44","From a theoretical aspect, the dexamethasone test enables us to delineate the nosology of the depressive disorder and to detect in childhood depression the same neuro-endocrinological features as noticed in adulthood depression."
"784","TWrex-diagnose","depression","217","227","dexamethasone","31","44","From a theoretical aspect, the dexamethasone test enables us to delineate the nosology of the depressive disorder and to detect in childhood depression the same neuro-endocrinological features as noticed in adulthood depression."
"785","TWrex-diagnose","tuberculosis","165","177","tb","84","86","The aim of the present study was to assess the cost-effectiveness of the new T-SPOT.tb assay versus the tuberculin skin test (TST) for screening contacts for latent tuberculosis (tb) infection in Switzerland."
"786","TWrex-diagnose","tuberculosis","165","177","tb","179","181","The aim of the present study was to assess the cost-effectiveness of the new T-SPOT.tb assay versus the tuberculin skin test (TST) for screening contacts for latent tuberculosis (tb) infection in Switzerland."
"787","TWrex-diagnose","impotency","83","92","papaverine","17","27","The Rigiscan and papaverine are useful in the diagnosis and management of erectile impotency."
"788","TWrex-diagnose","tuberculosis","25","37","ppd+","51","55","Stimulation profiles for tuberculosis patients and ppd+ contacts were extremely heterogeneous, formally demonstrating that an enormous number of different antigens serve as targets of the cellular immune response to M. tuberculosis."
"789","TWrex-diagnose","tuberculosis","219","231","ppd+","51","55","Stimulation profiles for tuberculosis patients and ppd+ contacts were extremely heterogeneous, formally demonstrating that an enormous number of different antigens serve as targets of the cellular immune response to M. tuberculosis."
"790","TWrex-diagnose","tuberculosis","266","278","tuberculin ppd","113","127","Tuberculin diagnosis confirms the primary diagnosis only in case of hyperergic response to the Mantoux test with tuberculin PPD 2 TU. Tracheobronchoscopic detection of nonspecific endobronchitis is not a reliable enough diagnostic criterion to differentiate between tuberculosis and pneumonia."
"791","TWrex-diagnose","tuberculosis","32","44","tb","46","48","A 1992 PAHO meeting of AIDS and tuberculosis (tb) specialists resulted in guidelines for health professionals on diagnosis, treatment, and follow up of tb associated with HIV infection or AIDS."
"792","TWrex-diagnose","tuberculosis","32","44","tb","152","154","A 1992 PAHO meeting of AIDS and tuberculosis (tb) specialists resulted in guidelines for health professionals on diagnosis, treatment, and follow up of tb associated with HIV infection or AIDS."
"793","TWrex-diagnose","bronchial hyperresponsiveness","224","253","methacholine","378","390","Patients with a dual reaction had a longer period of exposure to red cedar dust between the onset of the respiratory symptoms and the time of the definitive diagnosis, a lower FEF 25-75% and a greater degree of non-specific bronchial hyperresponsiveness compared to patients with isolated immediate or isolated late reactions; the difference in bronchial hyperresponsiveness to methacholine among the three groups persisted when the values were adjusted for the different baseline value of FEV1."
"794","TWrex-diagnose","bronchial hyperresponsiveness","345","374","methacholine","378","390","Patients with a dual reaction had a longer period of exposure to red cedar dust between the onset of the respiratory symptoms and the time of the definitive diagnosis, a lower FEF 25-75% and a greater degree of non-specific bronchial hyperresponsiveness compared to patients with isolated immediate or isolated late reactions; the difference in bronchial hyperresponsiveness to methacholine among the three groups persisted when the values were adjusted for the different baseline value of FEV1."
"795","TWrex-diagnose","tuberculosis","145","157","tuberculin","172","182","Among the variables analyzed, the radiological status had the greater impact into the diagnosis (OR = 25.39), followed by exposure to adult with tuberculosis (OR = 10.67), tuberculin skin test >10mm (OR = 8.23."
"796","TWrex-diagnose","tuberculosis","55","67","ppd","212","215","A 16-year-old Caucasian girl who showed no evidence of tuberculosis or other systemic disease developed acute panuveitis progressing to bilateral serous retinal detachments following purified protein derivative (ppd) skin testing on two separate occasions separated by an interval of 8 years."
"797","TWrex-diagnose","tbc","97","100","tuberculin","136","146","No significant difference has been observed between patients with definite or probable pulmonary tbc according to the average age, sex, tuberculin test positivity and history of tbc contact."
"798","TWrex-diagnose","tbc","178","181","tuberculin","136","146","No significant difference has been observed between patients with definite or probable pulmonary tbc according to the average age, sex, tuberculin test positivity and history of tbc contact."
"799","TWrex-diagnose","tuberculosis","48","60","tb","62","64","The model is further developed to address human tuberculosis (tb) and the impact of vaccination."
"800","TWrex-diagnose","tb","125","127","tuberculin","175","185","All Irish dairy herds restricted from trading between the 1(st) June 2004 and the 31(st) May 2005 as a result of two or more tb reactors by the Single Intradermal Comparative Tuberculin Test (SICTT) were considered for study."
"801","TWrex-diagnose","tuberculosis","180","192","tuberculin","122","132","The histologic and bacteriologic diagnosis of tuberculous lymphnodes was unexpected, as the patient was unreactive to the tuberculin skin test and had no signs of active pulmonary tuberculosis."
"802","TWrex-diagnose","tuberculosis","68","80","tb","12","14","QuantiFERON-tb Gold (QFT) is an indirect diagnostic test for latent tuberculosis (tb) infection and active tb."
"803","TWrex-diagnose","tuberculosis","68","80","tb","82","84","QuantiFERON-tb Gold (QFT) is an indirect diagnostic test for latent tuberculosis (tb) infection and active tb."
"804","TWrex-diagnose","tuberculosis","68","80","tb","107","109","QuantiFERON-tb Gold (QFT) is an indirect diagnostic test for latent tuberculosis (tb) infection and active tb."
"805","TWrex-diagnose","tuberculosis","18","30","tuberculin","113","123","A case of miliary tuberculosis associated with two different forms of cutaneous tuberculosis and a negative Heaf tuberculin test is reported."
"806","TWrex-diagnose","tuberculosis","80","92","tuberculin","113","123","A case of miliary tuberculosis associated with two different forms of cutaneous tuberculosis and a negative Heaf tuberculin test is reported."
"807","TWrex-diagnose","tuberculosis","265","277","tb","65","67","Peripheral blood mononuclear cells (PBMC) obtained from diabetic tb patients, non-diabetic tb patients and Mycobacterium bovis bacilli Calmette-Guérin (BCG)-vaccinated healthy subjects were cultured in the presence of complex mycobacterial antigens and pools of M. tuberculosis regions of difference (RD)1, RD4, RD6 and RD10 peptides."
"808","TWrex-diagnose","tuberculosis","265","277","tb","91","93","Peripheral blood mononuclear cells (PBMC) obtained from diabetic tb patients, non-diabetic tb patients and Mycobacterium bovis bacilli Calmette-Guérin (BCG)-vaccinated healthy subjects were cultured in the presence of complex mycobacterial antigens and pools of M. tuberculosis regions of difference (RD)1, RD4, RD6 and RD10 peptides."
"809","TWrex-diagnose","tb","87","89","ppd","152","155","Transient increases in plasma-derived IFNgamma as a result of TT during an established tb infection were more pronounced when blood was stimulated with ppd-A compared with ppd-B stimulation."
"810","TWrex-diagnose","tb","87","89","ppd","172","175","Transient increases in plasma-derived IFNgamma as a result of TT during an established tb infection were more pronounced when blood was stimulated with ppd-A compared with ppd-B stimulation."
"811","TWrex-diagnose","malignant hyperthermia","33","55","halothane","105","114","Trapezius muscle from normal and malignant hyperthermia (MH) pigs was used to investigate the effects of halothane on contractile properties and on the calcium transport system of isolated surface membranes."
"812","TWrex-diagnose","tuberculosis","113","125","tb","22","24","Yet, previous work on tb fusion subunit vaccine candidate, Mtb72f, has suggested that genetic diversity among M. tuberculosis strains may compromise vaccine efficacy."
"813","TWrex-diagnose","tuberculosis","113","125","tb","60","62","Yet, previous work on tb fusion subunit vaccine candidate, Mtb72f, has suggested that genetic diversity among M. tuberculosis strains may compromise vaccine efficacy."
"814","TWrex-diagnose","tuberculosis","17","29","ppd","104","107","Human and bovine tuberculosis have long been detected by skin testing with purified protein derivative (ppd), a complex mix of partly denatured mycobacterial antigens with suboptimal specificity."
"815","TWrex-diagnose","tuberculosis","235","247","ppd","37","40","Mantoux purified protein derivative (ppd) skin testing was performed in schoolchildren who were grouped according to positive (Group I, n = 205) and negative (Group II, n = 79) exposure to recent acid-fast bacilli (AFB) smear-positive tuberculosis (TB) family contact."
"816","TWrex-diagnose","tuberculosis","53","65","ppd","294","297","These data also suggest that in HIV-infected persons tuberculosis most often results from the reactivation of latent tuberculous infection; our results lend support to recommendations for the aggressive use of chemoprophylaxis against tuberculosis in patients with HIV infection and a positive ppd test."
"817","TWrex-diagnose","tuberculosis","235","247","ppd","294","297","These data also suggest that in HIV-infected persons tuberculosis most often results from the reactivation of latent tuberculous infection; our results lend support to recommendations for the aggressive use of chemoprophylaxis against tuberculosis in patients with HIV infection and a positive ppd test."
"818","TWrex-diagnose","diabetes insipidus","312","330","vasopressin","275","286","Marked changes of the hypothalamo-pituitary axis have been documented in the acute phase of TBI, with as many as 80% of patients showing evidence of gonadotropin deficiency, 18% of growth hormone deficiency, 16% of corticotrophin deficiency and 40% of patients demonstrating vasopressin abnormalities leading to diabetes insipidus or the syndrome of inappropriate anti-diuresis."
"819","TWrex-diagnose","tuberculosis","68","80","ppd","141","144","Mycobacteria antigens derived from whole cells and cell walls of M. tuberculosis and M. bovis (BCG) and soluble purified protein derivative (ppd) prepared from M. tuberculosis were used in solid phase radioimmunoassays to measure the amount of reactive IgG antibody in serums from 54 patients with active (culture-positive) tuberculosis (Group I), 6 patients with inactive (culture-negative) tuberculosis (Group II), 15 healthy subjects who were skin test positive to ppd (Group III), and 30 healthy persons who were ppd skin."
"820","TWrex-diagnose","tuberculosis","68","80","ppd","468","471","Mycobacteria antigens derived from whole cells and cell walls of M. tuberculosis and M. bovis (BCG) and soluble purified protein derivative (ppd) prepared from M. tuberculosis were used in solid phase radioimmunoassays to measure the amount of reactive IgG antibody in serums from 54 patients with active (culture-positive) tuberculosis (Group I), 6 patients with inactive (culture-negative) tuberculosis (Group II), 15 healthy subjects who were skin test positive to ppd (Group III), and 30 healthy persons who were ppd skin."
"821","TWrex-diagnose","tuberculosis","68","80","ppd","517","520","Mycobacteria antigens derived from whole cells and cell walls of M. tuberculosis and M. bovis (BCG) and soluble purified protein derivative (ppd) prepared from M. tuberculosis were used in solid phase radioimmunoassays to measure the amount of reactive IgG antibody in serums from 54 patients with active (culture-positive) tuberculosis (Group I), 6 patients with inactive (culture-negative) tuberculosis (Group II), 15 healthy subjects who were skin test positive to ppd (Group III), and 30 healthy persons who were ppd skin."
"822","TWrex-diagnose","tuberculosis","163","175","ppd","141","144","Mycobacteria antigens derived from whole cells and cell walls of M. tuberculosis and M. bovis (BCG) and soluble purified protein derivative (ppd) prepared from M. tuberculosis were used in solid phase radioimmunoassays to measure the amount of reactive IgG antibody in serums from 54 patients with active (culture-positive) tuberculosis (Group I), 6 patients with inactive (culture-negative) tuberculosis (Group II), 15 healthy subjects who were skin test positive to ppd (Group III), and 30 healthy persons who were ppd skin."
"823","TWrex-diagnose","tuberculosis","163","175","ppd","468","471","Mycobacteria antigens derived from whole cells and cell walls of M. tuberculosis and M. bovis (BCG) and soluble purified protein derivative (ppd) prepared from M. tuberculosis were used in solid phase radioimmunoassays to measure the amount of reactive IgG antibody in serums from 54 patients with active (culture-positive) tuberculosis (Group I), 6 patients with inactive (culture-negative) tuberculosis (Group II), 15 healthy subjects who were skin test positive to ppd (Group III), and 30 healthy persons who were ppd skin."
"824","TWrex-diagnose","tuberculosis","163","175","ppd","517","520","Mycobacteria antigens derived from whole cells and cell walls of M. tuberculosis and M. bovis (BCG) and soluble purified protein derivative (ppd) prepared from M. tuberculosis were used in solid phase radioimmunoassays to measure the amount of reactive IgG antibody in serums from 54 patients with active (culture-positive) tuberculosis (Group I), 6 patients with inactive (culture-negative) tuberculosis (Group II), 15 healthy subjects who were skin test positive to ppd (Group III), and 30 healthy persons who were ppd skin."
"825","TWrex-diagnose","tuberculosis","324","336","ppd","141","144","Mycobacteria antigens derived from whole cells and cell walls of M. tuberculosis and M. bovis (BCG) and soluble purified protein derivative (ppd) prepared from M. tuberculosis were used in solid phase radioimmunoassays to measure the amount of reactive IgG antibody in serums from 54 patients with active (culture-positive) tuberculosis (Group I), 6 patients with inactive (culture-negative) tuberculosis (Group II), 15 healthy subjects who were skin test positive to ppd (Group III), and 30 healthy persons who were ppd skin."
"826","TWrex-diagnose","tuberculosis","324","336","ppd","468","471","Mycobacteria antigens derived from whole cells and cell walls of M. tuberculosis and M. bovis (BCG) and soluble purified protein derivative (ppd) prepared from M. tuberculosis were used in solid phase radioimmunoassays to measure the amount of reactive IgG antibody in serums from 54 patients with active (culture-positive) tuberculosis (Group I), 6 patients with inactive (culture-negative) tuberculosis (Group II), 15 healthy subjects who were skin test positive to ppd (Group III), and 30 healthy persons who were ppd skin."
"827","TWrex-diagnose","tuberculosis","324","336","ppd","517","520","Mycobacteria antigens derived from whole cells and cell walls of M. tuberculosis and M. bovis (BCG) and soluble purified protein derivative (ppd) prepared from M. tuberculosis were used in solid phase radioimmunoassays to measure the amount of reactive IgG antibody in serums from 54 patients with active (culture-positive) tuberculosis (Group I), 6 patients with inactive (culture-negative) tuberculosis (Group II), 15 healthy subjects who were skin test positive to ppd (Group III), and 30 healthy persons who were ppd skin."
"828","TWrex-diagnose","tuberculosis","392","404","ppd","141","144","Mycobacteria antigens derived from whole cells and cell walls of M. tuberculosis and M. bovis (BCG) and soluble purified protein derivative (ppd) prepared from M. tuberculosis were used in solid phase radioimmunoassays to measure the amount of reactive IgG antibody in serums from 54 patients with active (culture-positive) tuberculosis (Group I), 6 patients with inactive (culture-negative) tuberculosis (Group II), 15 healthy subjects who were skin test positive to ppd (Group III), and 30 healthy persons who were ppd skin."
"829","TWrex-diagnose","tuberculosis","392","404","ppd","468","471","Mycobacteria antigens derived from whole cells and cell walls of M. tuberculosis and M. bovis (BCG) and soluble purified protein derivative (ppd) prepared from M. tuberculosis were used in solid phase radioimmunoassays to measure the amount of reactive IgG antibody in serums from 54 patients with active (culture-positive) tuberculosis (Group I), 6 patients with inactive (culture-negative) tuberculosis (Group II), 15 healthy subjects who were skin test positive to ppd (Group III), and 30 healthy persons who were ppd skin."
"830","TWrex-diagnose","tuberculosis","392","404","ppd","517","520","Mycobacteria antigens derived from whole cells and cell walls of M. tuberculosis and M. bovis (BCG) and soluble purified protein derivative (ppd) prepared from M. tuberculosis were used in solid phase radioimmunoassays to measure the amount of reactive IgG antibody in serums from 54 patients with active (culture-positive) tuberculosis (Group I), 6 patients with inactive (culture-negative) tuberculosis (Group II), 15 healthy subjects who were skin test positive to ppd (Group III), and 30 healthy persons who were ppd skin."
"831","TWrex-diagnose","mumps","190","195","virus","92","97","Cultured neurons from rat dorsal root ganglia and cerebral cortex were infected with Sendai virus, which gives a productive replication with lysis of most neurons, and with the RW strain of mumps virus, which undergoes defective replication causing degeneration of only 30-40% of the neurons within 5 days after initial infection."
"832","TWrex-diagnose","mumps","190","195","virus","196","201","Cultured neurons from rat dorsal root ganglia and cerebral cortex were infected with Sendai virus, which gives a productive replication with lysis of most neurons, and with the RW strain of mumps virus, which undergoes defective replication causing degeneration of only 30-40% of the neurons within 5 days after initial infection."
"833","TWrex-diagnose","tuberculosis","53","65","tuberculin","239","249","Circulating monocytes from four of six patients with tuberculosis functioned as suppressor cells; depletion of adherent cells from mononuclear cells obtained from the peripheral blood of these patients resulted in a 37-fold enhancement in tuberculin purified protein derivative-induced incorporation of 3Hthymidine."
"834","TWrex-diagnose","disorder","102","110","dexamethasone","25","38","We investigated the 1-mg dexamethasone suppression test (DST) in 41 outpatients with major depressive disorder assessing the role of dexamethasone blood level, age and basal cortisol on DST results."
"835","TWrex-diagnose","disorder","102","110","dexamethasone","133","146","We investigated the 1-mg dexamethasone suppression test (DST) in 41 outpatients with major depressive disorder assessing the role of dexamethasone blood level, age and basal cortisol on DST results."
"836","TWrex-diagnose","cushing's syndrome","35","53","dexamethasone","151","164","Children with a pituitary cause of Cushing's syndrome presented at an older age (mean, 15.7 years) and were diagnosed using a combination of high-dose dexamethasone testing, simultaneous inferior petrosal sinus sampling, and/or ovine corticotrophin-releasing hormone stimulation test."
"837","TWrex-diagnose","pulmonary tb","237","249","tb","139","141","In the present study, IFN-gamma secretion by peripheral blood mononuclear cells (PBMCs) in response to M. tuberculosis ESAT-6 in Brazilian tb patients was investigated in relation to clinical disease types, such as pleurisy and cavitary pulmonary tb."
"838","TWrex-diagnose","tuberculosis","12","24","tb","26","28","BACKGROUND: Tuberculosis (tb) is still a major public health problem that continues to be an important cause of morbidity and mortality at worldwide level."
"839","TWrex-diagnose","syndrome","45","53","dexamethasone","151","164","Children with a pituitary cause of Cushing's syndrome presented at an older age (mean, 15.7 years) and were diagnosed using a combination of high-dose dexamethasone testing, simultaneous inferior petrosal sinus sampling, and/or ovine corticotrophin-releasing hormone stimulation test."
"840","TWrex-diagnose","tuberculosis","84","96","ppd","111","114","In vitro proliferative response of lung cells from mice infected with Mycobacterium tuberculosis H37Rv against ppd and Con A was studied."
"841","TWrex-diagnose","tuberculosis","3","15","ppd","16","19","M. tuberculosis ppd, M. tuberculosis antigen 6, and M. tuberculosis culture filtrate were, in descending order, less accurate."
"842","TWrex-diagnose","tuberculosis","24","36","ppd","16","19","M. tuberculosis ppd, M. tuberculosis antigen 6, and M. tuberculosis culture filtrate were, in descending order, less accurate."
"843","TWrex-diagnose","tuberculosis","55","67","ppd","16","19","M. tuberculosis ppd, M. tuberculosis antigen 6, and M. tuberculosis culture filtrate were, in descending order, less accurate."
"844","TWrex-diagnose","tuberculosis","199","211","tuberculin","126","136","The mean size of TR of 60 patients was 24.0 +/- 13.9 mm and maximum size was 60 mm. Seven patients who had no reaction to the tuberculin skin test consisted of three primary complex and four serious tuberculosis (two miliary tuberculosis and two tuberculous meningitis."
"845","TWrex-diagnose","tuberculosis","225","237","tuberculin","126","136","The mean size of TR of 60 patients was 24.0 +/- 13.9 mm and maximum size was 60 mm. Seven patients who had no reaction to the tuberculin skin test consisted of three primary complex and four serious tuberculosis (two miliary tuberculosis and two tuberculous meningitis."
"846","TWrex-diagnose","tb","120","122","tuberculin","67","77","Although BCG vaccination interferes with the interpretation of the tuberculin skin test (TST), newer tests (QuantiFERON-tb Gold, T-SPOT.tb) are unaffected by BCG vaccination."
"847","TWrex-diagnose","tb","136","138","tuberculin","67","77","Although BCG vaccination interferes with the interpretation of the tuberculin skin test (TST), newer tests (QuantiFERON-tb Gold, T-SPOT.tb) are unaffected by BCG vaccination."
"848","TWrex-diagnose","pulmonary tb","97","109","tb","46","48","There was a significantly higher incidence of tb, particularly amongst cases with smear-negative pulmonary tb and extrapulmonary tb, in the semi-urban population compared with the rural population."
"849","TWrex-diagnose","pulmonary tb","97","109","tb","129","131","There was a significantly higher incidence of tb, particularly amongst cases with smear-negative pulmonary tb and extrapulmonary tb, in the semi-urban population compared with the rural population."
"850","TWrex-diagnose","pulmonary tb","119","131","tb","46","48","There was a significantly higher incidence of tb, particularly amongst cases with smear-negative pulmonary tb and extrapulmonary tb, in the semi-urban population compared with the rural population."
"851","TWrex-diagnose","pulmonary tb","119","131","tb","107","109","There was a significantly higher incidence of tb, particularly amongst cases with smear-negative pulmonary tb and extrapulmonary tb, in the semi-urban population compared with the rural population."
"852","TWrex-diagnose","tuberculosis","121","133","tb","135","137","Peripheral CD4 T-cell depletion has been observed in human immunodeficiency virus (HIV)-negative patients with pulmonary tuberculosis (tb."
"853","TWrex-diagnose","bladder","82","89","bethanechol chloride","15","35","The failure of bethanechol chloride to induce voiding in patients with neurogenic bladder, despite a positive bethanechol test, is being reported more frequently."
"854","TWrex-diagnose","tuberculosis","146","158","tuberculin","85","95","The high prevalence of A(*)-in positivity in Burma, its reciprocal relationship with Tuberculin there and the results for all the antigens in the tuberculosis patients indicate that the cell mediated skin test response may have a threshold."
"855","TWrex-diagnose","thyroid","138","145","thyrotrophin releasing hormone","254","284","Although levels of thyroxine and triiodothyronine were lower after treatment (p less than 0.05), there were no changes in basal levels of thyroid-stimulating hormone (TSH), luteinizing hormone (LH) or follicle-stimulating hormone (FSH), and responses to thyrotrophin releasing hormone (TRH) and luteinizing hormone releasing hormone (LHRH) were unchanged."
"856","TWrex-diagnose","bladder","82","89","bethanechol","15","26","The failure of bethanechol chloride to induce voiding in patients with neurogenic bladder, despite a positive bethanechol test, is being reported more frequently."
"857","TWrex-diagnose","bladder","82","89","bethanechol","110","121","The failure of bethanechol chloride to induce voiding in patients with neurogenic bladder, despite a positive bethanechol test, is being reported more frequently."
"858","TWrex-diagnose","diabetes insipidus","22","40","vasopressin","104","115","She had suffered from diabetes insipidus for ten years, and hormonal study revealed low plasma level of vasopressin."
"859","TWrex-diagnose","tuberculosis","55","67","tb","243","245","Through a retrospective survey of patients at District Tuberculosis Units (DTUs) of the National Tuberculosis Programme in Ho Chi Minh City, we investigated utilization of private and public health-care providers among people with symptoms of tb."
"860","TWrex-diagnose","tuberculosis","97","109","tb","243","245","Through a retrospective survey of patients at District Tuberculosis Units (DTUs) of the National Tuberculosis Programme in Ho Chi Minh City, we investigated utilization of private and public health-care providers among people with symptoms of tb."
"861","TWrex-diagnose","myasthenia gravis","63","80","edrophonium","142","153","Tonography of the eye was performed in 15 patients with proven myasthenia gravis and ten control subjects, before and after administration of edrophonium (Tensilon."
"862","TWrex-diagnose","tuberculosis","55","67","ppd","231","234","A varied performance of the assay was observed between tuberculosis and tuberculosis-paratuberculosis mixed infection regarding both the number of positive results and the OD values obtained after stimulation with bovine and avian ppds."
"863","TWrex-diagnose","tuberculosis","72","84","ppd","231","234","A varied performance of the assay was observed between tuberculosis and tuberculosis-paratuberculosis mixed infection regarding both the number of positive results and the OD values obtained after stimulation with bovine and avian ppds."
"864","TWrex-diagnose","tuberculosis","89","101","ppd","231","234","A varied performance of the assay was observed between tuberculosis and tuberculosis-paratuberculosis mixed infection regarding both the number of positive results and the OD values obtained after stimulation with bovine and avian ppds."
"865","TWrex-diagnose","tuberculosis","159","171","tb","173","175","This article reports the findings from a clinical study that examined the impact of health education and counseling on the decision of a patient infected with tuberculosis (tb) to complete a regimen of isoniazid (INH) chemoprophylaxis for 6 months to prevent tb."
"866","TWrex-diagnose","tuberculosis","159","171","tb","259","261","This article reports the findings from a clinical study that examined the impact of health education and counseling on the decision of a patient infected with tuberculosis (tb) to complete a regimen of isoniazid (INH) chemoprophylaxis for 6 months to prevent tb."
"867","TWrex-diagnose","tb","58","60","tuberculin","16","26","We compared the tuberculin skin test (TST) to QuantiFERON-tb (QFT) and QuantiFERON-tb Gold (QFT-G) for the detection of latent tuberculosis."
"868","TWrex-diagnose","tb","83","85","tuberculin","16","26","We compared the tuberculin skin test (TST) to QuantiFERON-tb (QFT) and QuantiFERON-tb Gold (QFT-G) for the detection of latent tuberculosis."
"869","TWrex-diagnose","pulmonary tb","142","154","tb","382","384","To investigate the association between sputum smear status at presentation and local pulmonary immune responses in HIV-infected patients with pulmonary tb, we compared the cellular and cytokine profiles in bronchoalveolar lavage (BAL) fluid obtained from the site of lung disease in 22 sputum smear- and culture-positive, and 17 sputum smear-negative but culture-positive pulmonary tb patients."
"870","TWrex-diagnose","pulmonary tb","372","384","tb","152","154","To investigate the association between sputum smear status at presentation and local pulmonary immune responses in HIV-infected patients with pulmonary tb, we compared the cellular and cytokine profiles in bronchoalveolar lavage (BAL) fluid obtained from the site of lung disease in 22 sputum smear- and culture-positive, and 17 sputum smear-negative but culture-positive pulmonary tb patients."
"871","TWrex-diagnose","tuberculosis","56","68","tb","70","72","Patients with diabetes mellitus are more susceptible to tuberculosis (tb), and the clinical conditions of diabetic tb patients deteriorate faster than non-diabetic tb patients, but the immunological basis for this phenomenon is not understood clearly."
"872","TWrex-diagnose","tuberculosis","56","68","tb","115","117","Patients with diabetes mellitus are more susceptible to tuberculosis (tb), and the clinical conditions of diabetic tb patients deteriorate faster than non-diabetic tb patients, but the immunological basis for this phenomenon is not understood clearly."
